【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.452332657	0.307692308	0.402967636	0.705204742	0.787576969	0.12391634	0.035890482	0.693151815	0.320471734	0.426965269	0.591962432	0.0667001	0.083638265	0.02010582	0.014851282	0.243962069
0.403651116	0.212587413	0.328192546	0.754981922	0.67443515	0.11882357	0.041842863	0.719141914	0.285048925	0.459920797	0.608718978	0.043630893	0.013591218	0.019259259	0.000328205	0.07512182
0.219066937	0.005594406	0.105035635	0.01393677	0.181046537	0.082213503	0.029754244	0.519141914	0.302738965	0.060312258	0.602733999	0.019558676	0.028750653	0.028359788	0.005251282	0.0506453
0.398580122	0.292307692	0.402967636	0.778819474	0.671123323	0.098371471	0.038495128	0.792079208	0.270008119	0.360507989	0.680364533	0.055165496	0.031887088	0.045291005	0.000615385	0.125972045
0.631845842	0.261538462	0.351559762	0.609854536	0.781861001	0.156648958	0.043586954	0.492244224	0.369867111	0.463061587	0.600915514	0.040621866	0.038159958	0.212486772	0.01854359	0.071626902
0.371196755	0.22027972	0.341044515	0.638779114	0.780757059	0.121450976	0.040698862	1	0.262915011	0.385998452	0.62971169	0.001003009	0.01829587	0.049312169	0.0256	0.137625741
0.420892495	0.033566434	0.15644351	0.141070378	0.310085126	0.071958517	0.035992625	0.555940594	0.324061018	0.691747462	0.647220713	0.038615848	0.043910089	0.036825397	0.001887179	0.051897263
0.572008114	0.313986014	0.382871831	0.791957454	0.836174963	0.298980289	0.092242753	0.556353135	0.364269538	0.560790204	0.780506668	0.044132397	0.059592263	0.046349206	0.024984615	0.077809558
0.620689655	0.499300699	0.557191261	0.847221054	0.867404264	0.406565043	0.062485955	0.565429043	0.580310217	0.500068278	0.770062567	0.060682046	0.052273915	0.11005291	0.010379487	0.100370478
0.54158215	0.254545455	0.36441173	0.685403178	0.80541177	0.213757422	0.050139425	0.586386139	0.27671666	0.438891165	0.610007943	0.044132397	0.051228437	0.052486772	0.017969231	0.129469463
0.432048682	0.164055944	0.295828952	0.790086606	0.617226406	0.064365661	0.021725807	0.473019802	0.304576336	0.454913742	0.676281649	0.050150451	0.042864611	0.039365079	0.008820513	0.183989046
1	0.781818182	0.796705223	0.50519213	0.929445821	0.244128847	0.062741313	0.539356436	0.475152758	0.503026993	0.631565013	0.049147442	0.04913748	0.036825397	0.012635897	0.06994309
0.398580122	0.358321678	0.442691903	0.865992601	0.810514437	0.087468315	0.03045903	0.700412541	0.436781609	0.442350585	0.533547929	0.029087262	0.03084161	0.035978836	0.001271795	0.115666968
0.537525355	0.676923077	0.627292908	0.723177499	0.823050315	0.156591085	0.03989704	0.585808581	0.312994061	0.417679457	0.579720747	0.052657974	0.026136958	0.025820106	0.001107692	0.078072605
0.559837728	0.616083916	0.678700783	0.219162533	0.921840885	0.11574476	0.038819432	0.709653465	0.303166261	0.42555419	0.599222441	0.284353059	0.284892838	0.074497354	0.007425641	0.31740683
0.576064909	0.186013986	0.310316626	0.657571681	0.813433751	0.11574476	0.038819432	0.700082508	0.303166261	0.42555419	0.599222441	0.053159478	0.054364872	0.026878307	0.004225641	0.070574145
0.470588235	0.46013986	0.549012735	0.583326326	0.80146211	0.11574476	0.038819432	0.51320132	0.303166261	0.42555419	0.599222441	0.172517553	0.174072138	0	0	0.148771077
0.507099391	0.265734266	0.379600421	0.604263012	0.835757918	0.11574476	0.038819432	0.512623762	0.303166261	0.42555419	0.599222441	0.043129388	0.04338735	0.020740741	0.005210256	0.068607311
0.537525355	0.237482517	0.164622035	0.783612209	0.803547335	0.11574476	0.038819432	0.714026403	0.303166261	0.42555419	0.599222441	0.05115346	0.057501307	0.015026455	0.005948718	0.077325715
0.563894523	0.562097902	0.623904662	0.552005381	0.901626475	0.113973865	0.038403199	0.506435644	0.7006794	0.455141336	0.585622117	0.056168506	0.052273915	0.037883598	0.009682051	0.069751955
0.748478702	0.666993007	0.71900923	0.704426974	0.857934892	0.11574476	0.038819432	0.741584158	0.303166261	0.42555419	0.599222441	0.112337011	0.105593309	0.08973545	0.009723077	0.130374373
0.792089249	0.535664336	0.60042061	0.757714622	0.813850796	0.127157193	0.039279075	0.651980198	0.382814169	0.450771542	0.627879269	0.079739218	0.077365395	0.02984127	0.010625641	0.118870552
0.89148073	1	1	0.666631632	0.782253514	0.11574476	0.038819432	0.990594059	0.303166261	0.42555419	0.599222441	0.054162487	0.07422896	0.044444444	0	0.165357808
0.770791075	0	0.164622035	0	0.780757059	0.11574476	0.038819432	0.412293729	0.303166261	0.42555419	0.599222441	0.053159478	0	0.063915344	0	0.091111974
0.478701826	0.313286713	0.415702769	0.864920541	0.814537693	0.148755165	0.04098997	0.568646865	0.346878605	0.43420274	0.605486114	0.019558676	0.024046001	0.092275132	0.005292308	0.086266161
0.567951318	0.185874126	0.317443627	0.507168082	0.815028335	0.11574476	0.038819432	0.802640264	0.303166261	0.42555419	0.599222441	0.04663992	0.056455829	0.022010582	0.006441026	0.167354911
0.669371197	0	0.164622035	0	0.851384834	0.11574476	0.038819432	0.412293729	0.303166261	0.42555419	0.599222441	0.055165496	0.054364872	0.035767196	0.005579487	0.083937003
0.501014199	0.261538462	0.381937142	0.931766585	0.830091014	0.11574476	0.038819432	0.656848185	0.303166261	0.42555419	0.599222441	0.043630893	0.032932567	0.026031746	0.002625641	0.087118463
0.568965517	0.265734266	0.34922304	0.47073909	0.831783725	0.11574476	0.038819432	0.545544554	0.303166261	0.42555419	0.599222441	0.03109328	0.043910089	0.07047619	0.029210256	0.066399856
0.501014199	0.181818182	0.309498773	0	0.798199347	0.11574476	0.038819432	0.822524752	0.303166261	0.42555419	0.599222441	0.311434303	0.338212232	0.026878307	0.070235897	1
0.709939148	0.331468531	0.164622035	0	0.856070456	0.11574476	0.038819432	0.412293729	0.303166261	0.42555419	0.599222441	0.007021063	0.019864088	0.046984127	0.076266667	0.081264674
0.476673428	0.230769231	0.164622035	0.87992937	0.796776488	0.11574476	0.038819432	0.412293729	0.303166261	0.42555419	0.599222441	0.044132397	0.043910089	0.04	0.010379487	0.083417255
0.659229209	0.309090909	0.164622035	0	0.869023379	0.11574476	0.038819432	0.412293729	0.303166261	0.42555419	0.599222441	0.058174524	0.051228437	0.147724868	0.030030769	0.073616601
0.47464503	0.22979021	0.164622035	0.688283024	0.795917867	0.11574476	0.038819432	0.878877888	0.303166261	0.42555419	0.599222441	0.030591775	0.04913748	0.012275132	0.057025641	0.129021703
0.904665314	0.418181818	0.512793551	0.708042546	0.855260898	0.225459217	0.063979796	0.632920792	0.408409178	0.493240475	0.64002341	0.116850552	0.112911657	0.108571429	0.015302564	0.12587396
0.46653144	0.359440559	0.449702068	0.988312453	0.802099944	0.154565552	0.045844314	0.544966997	0.489424433	0.992261823	0.565549099	0.063691073	0.064296916	0.055449735	0.014194872	0.096746407
0.405679513	0.348251748	0.434513378	0.841776675	0.786767412	0.11574476	0.038819432	0.51460396	0.303166261	0.42555419	0.599222441	0.061685055	0.072660742	0.006137566	0.004307692	0.108015796
0.518255578	0.381258741	0.475406005	0.838371311	0.811790104	0.11574476	0.038819432	0.63960396	0.303166261	0.42555419	0.599222441	0.027582748	0.044432828	0.019047619	0.03745641	0.092661299
0.516227181	0.436363636	0.523308798	0.141175481	0.820253661	0.11574476	0.038819432	0.782838284	0.303166261	0.42555419	0.599222441	0.355065196	0.372190277	0.014814815	0.013374359	0.549885601
0.435091278	0.394405594	0.491763056	0.723703019	0.802124476	0.11574476	0.038819432	0.568481848	0.303166261	0.42555419	0.599222441	0.09227683	0.106116048	0.009100529	0.008697436	0.123470519
0.551724138	0.942657343	0.948592125	0.141028336	0.805951476	0.11574476	0.038819432	0.698349835	0.303166261	0.42555419	0.599222441	0.400702106	0.404077365	0.040846561	0.003979487	0.429202246
0.557809331	0.563636364	0.616777661	0.618094678	0.809557687	0.11574476	0.038819432	0.657590759	0.303166261	0.42555419	0.599222441	0.158976931	0.155776268	0.056719577	0.007548718	0.189525322
0.456389452	0.321678322	0.428671574	0.921024973	0.810661629	0.11574476	0.038819432	0.707590759	0.303166261	0.42555419	0.599222441	0.090772317	0.084161004	0.023915344	0.00225641	0.099669147
0.420892495	0	0.164622035	0	0.789318745	0.11574476	0.038819432	0.412293729	0.303166261	0.42555419	0.599222441	0.043630893	0.051751176	0.028994709	0.003938462	0.083618613
0.588235294	0.415384615	0.510456829	0.882283696	0.786497559	0.15042189	0.041470041	0.509570957	0.464384908	0.952478492	0.58917548	0.045135406	0.051751176	0.098835979	0.032328205	0.107180297
0.46653144	0.523076923	0.599252249	0.140082401	0.792434315	0.11574476	0.038819432	0.945957096	0.303166261	0.42555419	0.599222441	0.380641926	0.41348667	0.015873016	0.045333333	0.421371408
0.567951318	0.391608392	0.490594696	0.516270075	0.872212546	0.143245715	0.040834202	0.541006601	0.464598556	0.917338067	0.563389212	0.039618857	0.022477784	0.148783069	0.012061538	0.164908002
0.490872211	0.482517483	0.565369786	0.299524931	0.83278954	0.11574476	0.038819432	0.662458746	0.303166261	0.42555419	0.599222441	0.317953862	0.301620491	0.036190476	0.006235897	0.388932055
0.470588235	0.425174825	0.513961911	0.268519297	0.79248338	0.11574476	0.038819432	0.717161716	0.303166261	0.42555419	0.599222441	0.285356068	0.313643492	0.01989418	0.086071795	0.275253749
0.517241379	0.688111888	0.738287183	0.234003195	0.816009617	0.11574476	0.038819432	0.762541254	0.303166261	0.42555419	0.599222441	0.243731194	0.25927862	0.02962963	0.00705641	0.307739548
