【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.507099391	0.377622378	0.464890758	0.672370302	0.80982754	0.128314641	0.738778878	0.399335427	0.029588766	0.021955044	0.04952381	0.136733313
0.446247465	0.253146853	0.359738287	0.453396956	0.719696784	0.044689052	0.551485149	0.347079976	0.032597793	0.048614741	0.008465608	0.066345353
0.010141988	0.00027972	0.141137983	0.001282267	0	0.053937058	0.535808581	0.888115071	0.008525577	0.023523262	0.017777778	0.055483502
0.612576065	0.918881119	0.887837364	0.848482301	0.861369379	0.1187194	0.554950495	0.712731576	0.062688064	0.02456874	0.127407407	0.084996174
0.248478702	0.041538462	0	0.12089044	0.184849005	0.104181858	0	0.255314307	0.017552658	0.031364349	0.00042328	0.051407645
0.40872211	0.251748252	0.373758617	0.326767847	0.784412335	0.081044481	0.500165017	0.43697938	0.150952859	0.113957135	0.034285714	0.23785997
0.45030426	0.242937063	0.366748452	0.571260405	0.827785001	0.123754297	0.533580858	0.426783195	0.030591775	0.044432828	0.03957672	0.15141862
0.382352941	0.152447552	0.288468279	0.648890103	0.654515124	0.084447377	0.431765677	0.415540079	0.048645938	0.044432828	0.017354497	0.135359469
0.467545639	0.433566434	0.523659306	0.76395779	0.89331011	0.108267648	0.501815182	0.448814238	0.08224674	0.093047569	0.037460317	0.117859483
0.489858012	0.398741259	0.492580909	0.929328176	0.806147732	0.146613887	0.751155116	0.444125814	0.026579739	0.043910089	0.032169312	0.116416624
0.453346856	0.268531469	0.328192546	0.698246868	0.797365258	0.139900691	0.561221122	0.349902135	0.034603811	0.03711448	0.013121693	0.075331859
0.568965517	0.621818182	0.666432995	0.939018751	0.913279199	1	0.561138614	0.720879421	0.033099298	0.032932567	0.058201058	0.100391254
0	0.088111888	0.189157612	0.362818465	0.444937811	0.054515782	0.579372937	0.42555419	0.009027081	0.020386827	0.014391534	0.059050589
0.415821501	0.33006993	0.420493048	0.437400151	0.801094129	0.109841777	0.748927393	0.406345305	0.148946841	0.121798223	0.029417989	0.198443355
0.596348884	0.282517483	0.390115668	0.735979147	0.834335059	0.133766219	0.645792079	0.447767308	0.02106319	0.036591741	0.034497354	0.104008263
0.452332657	0.307692308	0.402967636	0.705204742	0.787576969	0.12391634	0.693151815	0.426965269	0.0667001	0.083638265	0.02010582	0.243962069
0.403651116	0.212587413	0.328192546	0.754981922	0.67443515	0.11882357	0.719141914	0.459920797	0.043630893	0.013591218	0.019259259	0.07512182
0.219066937	0.005594406	0.105035635	0.01393677	0.181046537	0.082213503	0.519141914	0.060312258	0.019558676	0.028750653	0.028359788	0.0506453
0.398580122	0.292307692	0.402967636	0.778819474	0.671123323	0.098371471	0.792079208	0.360507989	0.055165496	0.031887088	0.045291005	0.125972045
0.631845842	0.261538462	0.351559762	0.609854536	0.781861001	0.156648958	0.492244224	0.463061587	0.040621866	0.038159958	0.212486772	0.071626902
0.371196755	0.22027972	0.341044515	0.638779114	0.780757059	0.121450976	1	0.385998452	0.001003009	0.01829587	0.049312169	0.137625741
0.420892495	0.033566434	0.15644351	0.141070378	0.310085126	0.071958517	0.555940594	0.691747462	0.038615848	0.043910089	0.036825397	0.051897263
0.572008114	0.313986014	0.382871831	0.791957454	0.836174963	0.298980289	0.556353135	0.560790204	0.044132397	0.059592263	0.046349206	0.077809558
0.620689655	0.499300699	0.557191261	0.847221054	0.867404264	0.406565043	0.565429043	0.500068278	0.060682046	0.052273915	0.11005291	0.100370478
0.54158215	0.254545455	0.36441173	0.685403178	0.80541177	0.213757422	0.586386139	0.438891165	0.044132397	0.051228437	0.052486772	0.129469463
0.432048682	0.164055944	0.295828952	0.790086606	0.617226406	0.064365661	0.473019802	0.454913742	0.050150451	0.042864611	0.039365079	0.183989046
1	0.781818182	0.796705223	0.50519213	0.929445821	0.244128847	0.539356436	0.503026993	0.049147442	0.04913748	0.036825397	0.06994309
0.398580122	0.358321678	0.442691903	0.865992601	0.810514437	0.087468315	0.700412541	0.442350585	0.029087262	0.03084161	0.035978836	0.115666968
0.537525355	0.676923077	0.627292908	0.723177499	0.823050315	0.156591085	0.585808581	0.417679457	0.052657974	0.026136958	0.025820106	0.078072605
