【净资产收益率(％)】	【主营利润增长率(％)】	【总资产增长率(％)】	【每股收益增长率(％)】	【存货周转率】
0.997285277	0.010633082	0.01273341	0.451785739	0.001312821
0.998434207	0.035461482	0.286971756	0.568837702	0
0.99916048	0.039713183	0.313763193	0.650153979	0.020430769
0.99845522	0.075754326	0.462419348	0.763311177	0.021702564
0.998452381	0.045678331	0.372430885	0.603061466	0.001517949
0.985056529	0.023459684	0.271460924	0.113700654	0.000410256
0.998560856	0.039914915	0.261718583	0.651101543	0.000492308
0.998472258	0.048768156	0.265735162	1	0.001928205
0.998412625	0.028490225	0.184848096	0.656438555	0.003692308
0.998416601	0.035941554	0.386574371	0.559027633	0.002584615
0.995638837	0	0.270093578	0.62266767	0.000697436
0.998295631	0.037892484	0.323975559	0.593265332	0.00545641
0.998431367	0.032665318	0.263128659	0.554094728	0.016574359
0.998209305	0.031669425	0.291971115	0.609555063	0.002789744
0.998429095	0.045032277	0.416271418	0.639556596	0.042502564
0.998454652	0.110362914	0.448660428	0.615658487	0.006235897
0.994823853	0.030576495	0.246635047	0.599222441	0.002420513
0.998294495	0.035926232	0.289022775	0.597146162	0.001517949
0.998393316	0.035890482	0.320471734	0.591962432	0.014851282
0.998291088	0.041842863	0.285048925	0.608718978	0.000328205
0.972211573	0.029754244	0.302738965	0.602733999	0.005251282
0.998703407	0.050139425	0.27671666	0.610007943	0.017969231
0.998838576	0.062741313	0.475152758	0.631565013	0.012635897
0.998226343	0.003263468	0.218476264	0.429476192	0.001107692
0.998489864	0.045885171	0.413793103	0.629621114	0.009230769
0.99844443	0.040512451	0.305046362	0.609283335	0.060225641
0.998250196	0.791842863	0.301713456	0.646921115	0.004389744
0.99842512	0.034136177	0.386916207	0.586047127	0.009107692
0.998281433	0.031240424	0.353971713	0.554868108	0.002010256
0.996272083	0.013283692	0	0.605569723	0
0.998267802	0.044010848	0.348929624	0.541365328	0.012964103
0.998929104	0.038819432	0.303166261	0.599222441	0.007261538
0.999131629	0.040617148	0.784899372	0.568154899	0.013784615
0.99881529	0.038819432	0.303166261	0.599222441	0
0.998512014	1	0.276246635	0.939195686	0.0016
0.99854325	0.039429736	0.352433449	0.590436576	0.017682051
0.998437614	0.035826643	0.405845404	0.557090701	1
0.998283137	0.045443403	0.310473016	0.639472987	0.004348718
0.998690913	0.048911156	0.415673204	0.611115756	0.007876923
0.998032678	0.061952258	0.343716618	0.634170812	0.000164103
