【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.188	1.33	1.247	14.11	31.282	0.1332	0	0	34.88	0	0	0	1.4	1.04	1.27	1.03	68.72
0.084	3.29	3.29	2.6	67.4	0.0844	0	0	12.23	0	0	0	3.78	3.33	0	0	32.6
0.12	1.9	1.84	6.24	28.746	0.2242	0	0	12.16	0	0	0	1.2	0.83	0.98	1.27	70.69
0.15	1.698	0	8.836	37.278	0.0929	0	0	36.57	0	0	0	1.36	1.1	0.71	1.45	62.72
0.176	4.019	3.931	4.37	26.26	0.4927	-1.53	-1.63	11.41	93.03	6.5	-19.52	1.46	1	1.79	2.36	69.53
0.358	4.769	4.745	7.5	61.639	0.3146	0	0	39.91	0	0	0	2.58	2.02	4.24	2.37	37.2
0.401	3.83	3.73	10.47	59.104	0.1349	9.86	1.8	29.05	18.64	5.54	41.13	1.93	1.48	1.41	2.59	40.8
0.499	7.15	7.15	6.97	63.437	0.0061	0	0	70.09	0	0	0	1.42	1.42	2.1	3796.95	29.33
0.38	0	0	24.21	0	0	0	0	0	0	0	0	1.4	0	3.02	0	53.23
0.092	2.24	2.149	4.105	41.146	0.1377	28.52	8.5	18.95	10.23	1.9	8.99	0.73	0.46	4.36	1.29	56.22
0.18	1.329	1.308	13.51	71.023	0.1397	0	0	47.31	0	0	0	1.27	1.08	1.04	1.57	28.98
0.28	0	0	13.74	0	0.2879	0	0	0	0	0	0	1.44	1.04	1.69	1.36	57.78
0.114	1.87	1.86	6.08	44.326	0.2011	0	0	29.64	0	0	0	1.21	0.63	1.23	0.64	55.67
0.181	1.9	1.58	9.51	22.394	0.208	0	0	16.15	0	0	0	0.96	0.84	3.33	7.12	73.04
0.114	1.3	1.24	8.79	95.15	0.0711	0	0	49.72	0	0	0	6.55	6.47	1.27	17.12	4.85
0.32	2.37	0	13.71	0	0.307	0	0	0	0	0	0	0.48	0.38	2.22	18.59	59.68
0.09	1.65	0	5.33	41.86	0.0653	0	0	0	0	0	0	1.22	0.84	1.89	2.53	58.14
0.27	2.21	0	12.14	0	0.3598	0	0	0	0	0	0	1.5	0.98	6.98	7.32	65.88
0.088	1.643	0	5.359	62.407	0.0618	0	0	56.55	0	0	0	0.95	0.94	0.58	13.9	37.59
0.512	2.99	2.98	17.13	61.467	0.3037	94.79	98.53	26.74	24.63	14.87	58.56	2.67	2.16	5.13	3.73	38.53
0.08	2.57	2.44	3.11	47.016	0.087	33.54	27.51	16.08	43.59	124.5	-48.33	1.61	1.23	2.62	3.46	50.13
0.02	2.49	2.31	0.86	55.105	0.0245	0	0	12.4	0	0	0	1.57	1.39	0.29	1.05	44.9
0.131	2.726	2.66	4.8	39.883	0.1265	0	0	27.55	0	0	0	0.89	0.85	0.9	9.13	52.34
0.129	3.12	3.07	4.11	88.434	0.161	0	0	44.91	0	0	0	7.42	7.12	0.7	3.26	8.82
0.049	2.82	2.8	1.73	60.722	0.0871	0	0	18.93	0	0	0	2.18	2.03	0.43	2.12	39.28
0.164	6.74	6.71	2.44	88.441	0.1027	0	0	34.67	0	0	0	8.33	7.73	1.93	0.97	11.3
0.17	4.03	3.87	4.13	65.746	0.1174	0	0	29.73	0	0	0	3.51	2.98	2.68	1.84	25.59
0.07	2.3	2.26	3.12	51.335	0.1219	0	0	35.79	0	0	0	2.15	1.61	1.13	0.55	48.66
0.035	0	0	1.12	0	0.0349	0	0	0	0	0	0	1.21	0.99	1.37	0.96	58
0.2	2.97	2.96	6.81	53.178	0.0234	29.96	10.38	11.79	37.73	115.76	-14.42	1.24	0.99	4.67	7.88	45.25
0.08	3.74	3.72	2	88.486	0.0476	0	0	64.68	0	0	0	7.93	7.91	0.75	11.05	11.51
0.18	2.8	2.79	6.48	70.59	0.3728	23.76	7.89	15.6	37.78	108.04	-51.43	1.13	0.43	7.03	2.94	29.41
0.104	3.45	3.43	3	80.901	0.2121	0	0	30.32	0	0	0	6.68	5.77	1.71	1.52	12.47
0.084	3.04	2.99	2.77	82.376	0.0478	0	0	36.95	0	0	0	6.03	6	0.94	20.98	17.62
0.13	4.92	4.91	2.54	84.018	0.1437	0	0	42.45	0	0	0	5.2	4.96	1.4	1.72	15.76
0.089	3.29	3.27	2.71	73.005	0	0	0	23.17	0	0	0	3.99	3.28	0.97	1.16	27
0.17	4.17	4.15	4.07	79.274	0.4472	0	0	11.82	0	0	0	4.39	3.05	8.29	1.51	20.73
0.35	4.62	4.56	7.5	53.091	0.385	19.94	34.09	16.99	143.81	366.6	-16.64	2.15	1.26	3.66	1.96	43.98
0.164	1.66	1.641	9.84	50.051	0.1054	0	0	52.09	0	0	0	1.82	1.59	0.92	2.29	49.95
0.324	3.301	3.286	9.8	79.841	0.0088	71.98	36.84	16.52	163.08	187.25	-5.53	3.61	3.31	25.34	16.08	20.16
0.118	1.97	1.88	5.98	47.572	0.1585	0	0	18.73	0	0	0	0.72	0.13	47.25	1.64	52.43
0.138	4.91	4.88	2.81	94.804	0.2509	0	0	48.52	0	0	0	20.28	19.13	1.06	0.77	5.12
0.355	3.86	3.82	9.22	61.122	0.0408	38.33	16.77	34.28	115.65	214.94	0.1	2.04	1.57	9.83	2.23	38.82
0.07	5.15	5.08	1.38	81.827	0.1887	0	0	28.75	0	0	0	6.5	6.04	0.97	1.36	14.7
0.05	1.62	1.61	3.15	49.23	0.0342	0	0	53.47	0	0	0	0.34	0.32	3.66	8.83	50.77
0.12	0	0	7.36	0	0.0977	0	0	0	0	0	0	161.87	97.06	1.05	0.38	50.41
0.15	1.626	1.62	9.23	59.557	0.1157	0	0	20.5	0	0	0	1.1	0.79	6.35	3.17	39.93
0.172	0	0	13.9	0	0.1262	0	0	0	0	0	0	1.66	1.25	6.1	4.79	54.42
0.54	0	0	31.29	0	0	0	0	0	0	0	0	1.49	0.46	13.7	0.82	51.34
0.16	3.58	3.31	4.46	55.346	0.3031	0	0	43.06	0	0	0	2.23	1.91	0.61	0.98	40.31
-0.05	0.304	-0.049	-16.51	29.528	-0.9528	-88.28	-110.38	-33.84	-67.97	-79.57	-211.61	0.58	0.43	0.14	0.32	70.47
0.08	2.16	2.15	3.72	62.257	0.1536	-6.3	-13.15	37.81	-3.79	0.76	-43.61	0.64	0.64	1.78	0	37.74
0.266	1.609	0	16.508	40.53	0.0006	-0.45	3.5	9.71	2.48	4.93	73.1	0.95	0.64	8.72	4.98	59.47
0.092	2.257	2.257	4.09	62.669	0.2764	49.79	144.64	10.86	37.27	8.71	235.51	2.59	2.12	11.96	5.29	2140000
0.18	4.49	4.22	4.04	56.154	0.2366	41.67	26.86	21.39	16.21	36.67	5.51	2.16	0.71	3.61	0.37	42.76
-0.215	0.09	-1.25	-231.83	1.066	-2.8042	-51.54	-60.15	22.03	-7.42	-93.49	-696.85	0.75	0.31	0.4	0.1	98.93
0.02	0.328	0.058	5.95	7.244	-1.3208	36.48	4.29	25.8	-9.7	-67.81	74.46	0.94	0.26	0.67	0.12	91.2
0.12	2.7	2.57	4.39	63.164	0.1185	10.86	38.96	39.57	-8.76	-5.76	575.22	0.93	0.42	2.34	0.47	35.47
0.06	1.81	1.67	3.34	21.569	-0.2489	-61.39	-40.45	16.87	-27.69	-17.24	82.12	0.99	0.93	0.4	0.9	73.1
0.224	6.57	6.19	3.41	40.364	0.3286	2.57	-11.27	17.29	19.52	63.09	-57.69	1.59	0.47	6.02	0.63	57.06
-0.135	0.297	-1.409	-45.5	5.751	-2.4291	-9.99	-152.02	-49.97	-7.74	-37.4	33.65	0.69	0.6	0.02	0.17	94.34
0.023	1.8	1.79	1.28	79.605	0.0149	-29.98	-3.63	10.65	4.87	2.51	-8.55	3.35	2.18	1.62	1.33	20.39
0.064	1.737	1.73	3.67	67.974	0.1917	6.92	-24.1	14.7	-9.37	0.27	-64.77	0.95	0.85	1.87	4.04	32.03
-0.003	1.09	1.06	-0.24	64.281	-0.5146	-27.04	-28	2.36	-2.62	-2.2	14.83	1.31	0.85	0.82	0.68	35.83
0.103	2.851	2.807	3.63	50.94	0.1035	26.67	24.33	41.07	26.47	4.08	57.89	0.87	0.84	1.52	10.36	41.66
0.181	4.446	4.295	4.08	44.671	0.5402	763.97	280.17	18.04	34.05	64.88	23.59	1	0.63	2.75	1.52	48.31
-0.38	0.63	0.21	-59.85	17.26	-1.3689	-52.9	-32.28	20.25	-13.23	0	0	0.52	0.39	0.68	0.59	82.13
0.03	2.36	2.19	1.26	74.342	0.0829	-5.1	-11.33	40.8	-3.31	-4.22	-2.98	3.31	2.33	1.39	0.37	2140000
0.066	2.2	2.04	3	61.602	0.0278	7.06	-11.47	34.04	4.05	0.31	-10.42	1.67	1.6	0.95	3.62	19.88
0.018	1.52	1.4	1.2	35.916	-0.4334	2.66	11.84	37.19	-4.24	7.55	13.63	1.21	0.26	0.91	0.08	64.56
-0.164	0.04	-0.51	-458	0.663	-2.4446	-28.97	-35.5	12.95	-0.1	-80.24	5.04	0.73	0.55	1.34	1.28	95.76
0.154	1.82	1.71	8.46	62.544	0.1005	84.68	44.33	21.1	-6.19	2.93	15.48	1.22	0.98	2.48	4.38	37.46
0.606	5.59	5.41	10.84	24.033	0.6061	110.92	93.68	15.4	40.25	17.02	46.42	1.32	0.94	1.74	3.08	2140000
0.001	2.15	1.164	0.06	52.697	-0.0553	-37.72	-139.24	-5.32	-19.82	-10.68	-243.63	1.52	1.48	0.03	0.27	46.99
0.08	1.7	1.59	4.7	39.271	-0.497	71.86	27.67	30.66	25.89	14.91	43.63	0.83	0.7	3.6	2.25	54.35
0.088	2.24	2.19	3.9	89.51	0.088	8.04	6.63	55.21	0.44	2	14.44	3.14	3.1	2.59	14.68	10.49
0.005	1.03	1.01	0.48	28.097	-1.341	-2.38	2948.9	5.83	-0.34	1.8	68.46	0.98	0.56	1.61	1.07	70
0.123	3.46	3.41	3.56	89.219	0.8119	-10.12	-18.34	26.12	19.6	20.18	-18.91	6.75	6.24	1.75	2.22	10.04
0.02	1.91	1.65	1.03	33.831	0.2727	21.73	-29.68	16.41	11.89	0	-63.66	0.97	0.53	3.6	0.49	64.23
-0.065	0.19	-0.055	-34.35	19.687	-0.7324	-100	-100	0	-70.95	-88.68	9.11	1.14	1.14	0	0	80.31
0.021	2.619	2.476	0.79	44.655	0.2727	14.94	20.33	18.61	10.71	22.48	-83.04	1.58	1.25	1.93	3.16	41.47
0.145	1.166	0	12.434	40.999	0.0885	0	0	24.38	0	0	0	0.81	0.45	3.2	1.77	59
0.3	1.8	1.63	16	41.598	0.0022	44.11	7.04	35.5	112.74	146.91	-44.59	0.84	0.72	3.56	3.36	58.4
0.163	1.56	0	10.43	62.02	0	0	0	19.4	0	0	0	1.79	1.11	0	0	36.22
0.061	1.19	1.15	5.09	22.783	-0.9794	755.32	3764.06	43.83	-6.3	14.08	487.95	1.77	1.73	0.14	0.39	74.01
0.314	5.56	5.44	5.64	58.271	0.3064	4.42	2.39	27.12	11.53	2.64	-12.61	1.91	1.74	1.69	4.31	38.65
0.15	4.01	3.89	3.78	86.431	0.1647	-2.75	-11.72	61.44	24.03	33.62	-60.47	4.07	4.07	0.9	243.75	11.04
0.024	2.28	2.14	1.06	58.109	0.0741	28.09	25.94	28.86	1.71	0.79	57.77	1.82	1.34	0.74	1.06	39.91
0.317	3.85	3.75	8.24	41.192	0.8937	65.43	39.52	27.86	26.33	14.28	17.07	1.75	1.28	2.43	1.92	47.28
-0.034	1.01	0.87	-3.35	43.366	-0.9875	-56.28	90.59	-4.66	9.49	7.04	50.16	1.13	0.51	0.09	0.04	56.61
