【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.504407713	0.311270718	0.345140119	0.493605857	0.427391014	0.039005376	0.361285266	0.889146529	0.544080605	0.307277628	0.006399609	0.465440313
0.874104683	0.859668508	0.847900823	0.977542521	0.61172153	0.219484854	0.467280564	0.914541137	0.440806045	0.25606469	0.024621397	0.220819818
0.506887052	0.464530387	0.479216585	0.678513109	0.514279359	0.080813228	0.67270768	0.883405504	0.370277078	0.221024259	0.012359551	0.270509743
0.628650138	0.74441989	0.731430357	0.963469901	0.530682829	0.151728618	0.506367555	0.894510406	0.518891688	0.194070081	0.017684416	0.221876523
0.607438017	0.679558011	0.696843421	0.220483276	0.572998221	0.12738529	0.598060345	0.882050566	0.831234257	0.690026954	0.033365901	0.442146254
0.604683196	0.619889503	0.63225336	0.26620553	0.517615658	0.12738529	0.602566614	0.882050566	0.808564232	0.641509434	0.021055203	0.417687825
0.554820937	0.543535912	0.565996458	0.306386804	0.502101868	0.111665945	0.452880094	0.63063277	0.989924433	0.746630728	0.0098681	0.382129694
0.554820937	0.555138122	0.575789145	0.689466635	0.521752669	0.136748108	0.399882445	0.904358151	0.637279597	0.450134771	0.016805081	0.253800767
0.566115702	0.504972376	0.52182519	0.51265068	0.50959742	0.12738529	0.633032915	0.882050566	0.617128463	0.485175202	0.012066439	0.295413433
0.60137741	0.577900552	0.595374518	0.79184632	0.518227313	0.156276273	0.417319749	0.871602179	0.491183879	0.312668464	0.019149976	0.193829937
0.533057851	0.52121547	0.546827795	0.46590096	0.523965747	0.138327686	0.621375392	0.863863668	0.715365239	0.498652291	0.033072789	0.318023018
0.502754821	0.600883978	0.613709761	0.695851604	0.512700178	0.188874169	0.543299373	0.886618243	0.569269521	0.398921833	0.010258915	0.251454231
0.574104683	1	1	0.444691118	0.530604982	0.178364882	0.955525078	0.883768683	0.41813602	0.347708895	0.043380557	0.377894939
0.679063361	0.731491713	0.727054902	0.340880319	0.521185498	0.12738529	0.78369906	0.882050566	0.831234257	0.884097035	0.024279433	0.477767163
0.541046832	0.423535912	0.447129909	0.826138011	0.508240658	0.187625793	0.464047806	0.885654421	0.327455919	0.156334232	0.011480215	0.237048613
0.577134986	0.509723757	0.537451818	0.089719832	0.521040925	0.12738529	0.763028997	0.882050566	0.901763224	0.986522911	0.006497313	0.597440587
0.635261708	0.737790055	0.748723825	0.366970625	0.533974644	0.12738529	0.807601881	0.882050566	0.80604534	0.994609164	0.015583781	0.352182611
0.561983471	0.673812155	0.656526722	0.243546227	0.532295374	0.12738529	0.617652821	0.882050566	0.904282116	0.733153639	0.01333659	0.423803704
