【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营业务利润率(％)】	【股东权益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【资产负债比(％)】
0.296268088	0.308542286	0.357731554	0.424435359	0.612339228	0.275818926	0.098085435	0.758311951	0.260249554	0.201506591	0.206740599	0.009633547
1	0.925308117	0.911499215	0.913278315	1	0.427320291	0.114166732	0.767839393	0.265597148	0.177024482	0.082762046	0.025311674
0.214775324	0.451338717	0.477040816	0.627872241	0.727167326	0.585077343	0.138655352	0.757626191	0.106951872	0.058380414	0.109342672	0.013789195
0.439451637	0.754249894	0.726059655	0.888127819	0.79850977	0.519790719	0.16688929	0.762488153	0.185383244	0.052730697	0.079815908	0.0204949
0.476770754	0.67838929	0.703002355	0.106486022	0.841979965	0.553798908	0.137607711	0.760469399	0.691622103	0.61393597	0.324615741	0.110880242
0.415841584	0.635146621	0.657378336	0.269760565	0.775120579	0.498862602	0.386972578	0.902075002	0.529411765	0.451977401	0.215950617	0.060068002
0.266565118	0.536655334	0.569760597	0.30317889	0.723225328	0.277979982	0.109111862	0.758585485	0.593582888	0.446327684	0.177288186	0.009916887
0.281035796	0.545792605	0.569956829	0.673722485	0.750556517	0.310964513	0.261019879	0.815761695	0.25311943	0.169491525	0.096235324	0.014261428
0.252856055	0.47439439	0.49744898	0.508275373	0.707148157	0.462693358	0.299992143	0.820034211	0.26916221	0.22787194	0.120300437	0.014166981
0.332063976	0.448257544	0.490580848	0.804906383	0.75405021	0.370905369	0.027683927	0.755588174	0.213903743	0.060263653	0.082240506	0.002833396
0.389946687	0.509243519	0.545918367	0.490351684	0.738776898	0.56710646	0.141300647	0.759352149	0.222816399	0.13559322	0.128435979	0.047034379
0.42498096	0.597003825	0.617445055	0.606342692	0.7332581	0.446201092	0.166234515	0.75883205	0.263814617	0.207156309	0.104515324	0.013600302
0.629855293	0.976306842	0.97821821	0.406194837	0.75038647	0.885805278	0.128283701	0.759926184	0.060606061	0.065913371	0.178594538	0.051284473
0.553693831	0.706438589	0.708398744	0.244519546	0.781365941	0.842242948	0.121343076	0.758269573	0.909090909	0.962335217	0.305887772	0
0.292460015	0.560879728	0.586734694	0.542387713	0.735607841	0.364990901	0.237343181	0.794630267	0.217468806	0.1826742	0.126019214	0.086040801
0.310738766	0.499893753	0.538069074	0.239917925	0.745594237	0.65377616	0.632801655	0.840637834	0.406417112	0.414312618	0.20758376	0.015205893
0.395277989	0.540267743	0.573096546	0.349044221	0.793578407	0.81255687	0.121343076	0.758269573	0.631016043	0.587570621	0.161482777	0.015489233
0.304645849	0.650021249	0.674744898	0.234697726	0.750896611	0.535941765	0.42615437	0.862343296	0.481283422	0.406779661	0.210502671	0.023706082
0.351865956	0.497131322	0.523940345	0.664308022	0.741806827	0.394790719	0.116445352	0.799684859	0.206773619	0.193973635	0.104816652	0.045995467
0.298552932	0.521568211	0.554650706	0.082286025	0.727662008	0.647634213	1	0.871254325	0.782531194	0.826741996	0.361761097	0.043823196
0.307692308	0.552592435	0.581142072	0.580256786	0.76228976	0.37022293	0.121343076	0.758269573	0.112299465	0.094161959	0.108249687	0
0.295506474	0.485444114	0.515600471	0.572154916	0.739194286	0.381369427	0.121343076	0.758269573	0.292335116	0.248587571	0.110457954	0
0.447067784	0.527943051	0.560243328	0.452920143	0.79405763	0.307097361	0.121343076	0.758269573	0.322638146	0.263653484	0.131726713	0
0.292460015	0.505418615	0.540816327	0.383835488	0.742579767	0.782757052	0.510175218	0.820885632	0.288770053	0.305084746	0.160212041	0.014544768
0.623000762	0.497131322	0.535714286	0.362984867	0.791939772	0.454504095	0.142741154	0.765385297	0.668449198	0.359698682	0.155750746	0.05846241
0.306930693	0.461644709	0.246271586	0.803744663	0.730475513	0.350090992	0.188549278	0.758982301	0.219251337	0.167608286	0.085774705	0.050906687
0.265803503	0.470250744	0.491071429	0.592522744	0.743368167	0.336897179	0.158901024	0.761397872	0.172905526	0.169491525	0.106283111	0.008027956
0.287128713	0.41638334	0.458006279	0.794043542	0.728172149	0.338148317	0.119247793	0.75687879	0.092691622	0.096045198	0.092914966	0.02266717
0.339680122	0.538886528	0.569073783	0	0.752736211	0.646383076	0.130693277	0.760974088	0	0	1	0.006139025
0.291698401	0.483319167	0.513147567	0.419064287	0.726409844	0.392060965	0.109216626	0.758231047	0.270944742	0.254237288	0.139833119	0.009539101
0.373191165	0.647790055	0.672095761	0.077443008	0.740307321	0.437215651	0.137764857	0.759668061	0.857397504	0.881355932	0.399214257	0.074801662
0.363290175	0.434657884	0.470957614	0.408638976	0.749397106	0.482484076	0.141772086	0.760357674	0.472370766	0.399246704	0.199527692	0.058651303
0.275704494	0.42318317	0.463991366	0.744647787	0.725791491	0.48555505	0.17293942	0.757499056	0.267379679	0.20527307	0.087786723	0.021250472
0.269611577	0.525818105	0.543072998	0.900861484	0.724693915	0.380686988	0.191168382	0.759417643	0.158645276	0.114877589	0.07824531	0.018322629
0.44478294	0.5219932	0.553473312	0.544469758	0.746351719	0.328252957	0.129069432	0.760981793	0.13368984	0.096045198	0.119481474	0.051945599
0.302361005	0.5920102	0.62038854	0.06955236	0.729640737	0.708826206	0.134071921	0.759359855	0.793226381	0.715630885	0.393656717	0.0204949
0.348057883	0.455694858	0.496467818	0.552360405	0.740771086	0.294927207	0.168225033	0.754987171	0.187165775	0.126177024	0.112533817	0.057517945
0.353389185	0.587229069	0.613912873	0.327318538	0.771735098	0.515468608	0.193787486	0.762106747	0.754010695	0.623352166	0.28309062	0.052417832
0.319116527	0.406502337	0.448587127	0.144279658	0.727785679	0.667424932	0.132107593	0.759583304	0.896613191	0.943502825	0.350308159	0.026350586
0.372429551	0.718338292	0.739992151	0.324934748	0.748392283	0.460873521	0.1817658	0.759155668	0.25311943	0.218455744	0.172248454	0.051001133
0.30312262	0.550042499	0.583594976	0.352966914	0.763897477	0.451433121	0.154369975	0.760145782	0.465240642	0.403013183	0.159010808	0.015961466
0.34272658	0.625159371	0.653453689	0.490759041	0.761145808	0.319494995	0.210759278	0.758111617	0.474153298	0.451977401	0.125028624	0.120136003
0.477532369	0.692945176	0.711342229	0.871924081	0.794243136	0.375796178	0.289201435	0.75974126	0.187165775	0.092278719	0.080307058	0.024272762
0.338918507	0.554186145	0.58810832	0.322747092	0.750958447	0.593039126	0.469369582	0.845203147	0.481283422	0.467043315	0.169608155	0.033434076
0.388423458	0.541117722	0.574666405	0.171708333	0.72175674	0.339171975	0.125821744	0.759009269	0.342245989	0.188323917	0.299410098	0.278995089
0.308453922	0.45240119	0.491071429	0.399058554	0.748778753	0.406164695	0.187554019	0.785619072	0.233511586	0.114877589	0.145509689	1
0.399847677	0.717700807	0.733908948	0.276504579	0.764546747	0.65866697	0.207642545	0.759209604	0.614973262	0.538606403	0.231467022	0.055440121
0.551408987	0.598066298	0.614207221	0.510432854	0.720891046	0.573362147	0.140829208	0.758716473	0.235294118	0.154425612	0.135442329	0.111824707
0.306169078	0.568317042	0.596546311	0.213620796	0.736427158	0.512738854	0.152641366	0.760446283	0.666666667	0.600753296	0.301896323	0.037778617
0.302361005	0.700063748	0.713304553	0.310918664	0.725776033	0.79788444	0.676697834	0.89256297	0.486631016	0.512241055	0.181459729	0.118813751
0.309977152	0.543880153	0.575941915	0.324934748	0.738715063	0.674249318	0.401901469	0.834254101	0.415329768	0.344632768	0.172950802	0.008689082
0.29322163	0.568317042	0.600470958	0.179236885	0.737818452	0.371815287	0.487467589	0.84306111	0.786096257	0.781544256	0.303154983	0.099074424
0.378522468	0.733000425	0.751569859	0.137339509	0.74908793	0.37966333	0.585526833	0.924724348	0.869875223	0.792843691	0.304788766	0.0560068
0.45468393	1	1	0.11342617	0.758579644	0.400818926	0.121343076	0.758269573	1	1	0.346021558	0
