【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.309	4.656	4.655	6.628	84.323	0.8202	66.55	51.47	32.77	6.21	5.71	79.19	4.09	3.46	11.74	2.36	15.68
0.229	4.249	4.19	5.397	73.501	0.3877	149.88	100.19	27.94	101.42	373.27	22.2	3.18	2.6	6.36	2.46	23.57
0.033	3.322	3.297	0.994	71.286	0.052	-36.83	-44.72	8.52	-4.67	0.82	-60.87	3.54	2.57	1.05	0.36	28.71
0.052	3.408	3.299	1.53	46.726	0.2288	-23.1	-27.81	11.42	53.33	149.23	-56.06	1.63	1.1	1.51	0.76	52.89
0.015	2.736	2.56	0.548	57.692	-0.052	5.09	-28.85	24.76	68.21	160.32	-90	1.72	1.41	1.5	1.23	42.31
0.119	2.49	2.49	4.78	38.031	0.2514	-85.81	-79.25	16.69	-35.76	-6.96	-32.13	1.41	0.52	0.3	0.2	61.89
0.195	3.064	3.054	6.35	58.88	0.1526	11.16	-5.45	33.94	7.62	2.81	-45.61	1.46	0.92	4.98	2.52	39.63
0.241	3.89	3.783	6.2	51.192	0.1169	30.21	4.48	23.31	17.14	1.46	-39.9	1.69	1.3	1.44	2.68	48.7
0.51	7.46	7.46	6.81	64.458	0.2277	36.74	20.88	61.96	2.65	4.3	1.79	0.55	0.55	5.43	13.84301	28.5
0.41	4.92	4.71	8.25	75.174	0.4281	0	0	58.13	0	0	0	5.31	5.31	0	110.3	16.64
0.067	3.55	3.47	1.88	55.431	0.1321	72.54	47.18	16.17	44.29	94.38	-27.31	1.43	1.17	9.11	2.23	40.39
